dogadjaj_id,predmet,tip,nastavnik,smjerovi,ciklus,semestar,godina,grupa,broj_studenata,ucionica_id,dan,pocetak,kraj,trajanje_sati
D0181,Računarske mreže,LV,Kadušić Esada,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,4,II godina,G1,47,VRC,CETVRTAK,08:00,10:00,2
D0037,Diferencijalne jednadžbe,P,Senada Kalabušić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,67,VRC,CETVRTAK,10:00,13:00,3
D0168,Programiranje I,LV,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,75,VRC,SRIJEDA,08:00,10:00,2
D0169,Programiranje I,LV,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G2,75,VRC,CETVRTAK,16:00,18:00,2
D0216,Teorija vjerovatnoće,P,Fikret Čunjalo,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,67,VRC,PONEDJELJAK,08:00,10:00,2
D0187,Statistika I,P,Fikret Čunjalo,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,67,VRC,CETVRTAK,14:00,16:00,2
D0215,Teorija vjerovatnoće,AV,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,67,VRC,UTORAK,15:00,17:00,2
D0036,Diferencijalne jednadžbe,AV,Emin Bešo,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,67,VRC,UTORAK,12:00,14:00,2
D0142,Numerička matematika,P,Medina Zubača,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,67,VRC,PONEDJELJAK,15:00,17:00,2
D0153,Operativni sistemi,LV,Samir Ribić,Kompjuterske nauke,Bachelor,4,II godina,G1,40,RC,PONEDJELJAK,08:00,10:00,2
D0193,Strukture podataka i algoritmi,LV,Admir Beširević,Kompjuterske nauke,Bachelor,3,II godina,G1,40,RC,PONEDJELJAK,11:00,13:00,2
D0052,Engleski jezik,P,Nadira Aljović,Kompjuterske nauke | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,60,419,SRIJEDA,08:00,10:00,2
D0051,Engleski jezik,AV,Nadira Aljović,Kompjuterske nauke | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,60,419,CETVRTAK,12:00,14:00,2
D0074,Kombinatorika,P,Amela Muratović-Ribić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,58,419,SRIJEDA,10:00,12:00,2
